"comfort","price","rooms_count","useful_surface","built_surface","construction_year","level","max_level","kitchens_count","bathrooms_count","parking_lots_count","balconies_count"
1,72000,2,72,83,2020,4,4,1,1,0,1
2,72900,3,67,73,1965,4,4,1,1,1,1
1,33000,1,33,38,2020,2,6,1,1,0,1
1,57200,2,50,53,2020,1,4,1,1,1,1
1,67466,2,42,55,2021,1,9,1,1,0,1
1,109000,1,44,63,2012,6,6,1,1,0,0
1,169000,3,92,169,2020,9,9,1,2,0,1
1,57920,2,51,62,2020,1,6,1,1,0,1
1,84000,2,50,69,2020,2,5,1,1,0,1
1,140000,3,75,94,2021,2,4,1,2,0,2
4,60000,2,54,62,2021,2,7,1,1,0,1
1,43000,2,44,55,2020,2,6,1,1,0,1
4,88500,3,88,98,2021,2,7,1,2,0,1
1,85000,3,73,83,2020,3,4,1,1,0,1
4,152900,3,123,123,2019,0,3,1,2,0,1
1,37700,1,37,48,2020,1,5,1,1,0,1
1,46948,1,38,50,2020,2,6,1,1,0,1
1,123000,3,77,97,2020,2,5,1,2,0,1
4,130000,3,95,161,2021,7,7,1,2,0,1
4,86000,3,90,105,2018,1,4,1,2,2,1
1,33100,1,35,46,2020,1,3,1,1,0,1
1,132000,3,72,76,2005,2,6,1,2,0,1
4,169900,4,142,142,2019,0,3,1,2,0,2
1,81000,3,75,90,2013,1,4,1,1,0,2
1,169000,4,105,125,2020,6,9,1,2,0,1
1,150000,3,78,100,2021,1,4,1,2,0,2
1,161626,3,77,102,2019,1,9,2,1,0,2
1,64000,2,62,74,2020,4,4,1,1,0,1
1,101998,2,57,67,2021,1,4,1,1,0,1
1,92000,3,64,70,1984,6,10,1,1,0,1
1,31500,1,35,45,2020,1,8,1,1,0,1
4,199000,3,78,109,2020,1,11,1,2,0,1
4,114330,2,73,83,2021,4,5,1,1,0,1
4,69619,2,56,72,2018,9,9,1,1,0,1
1,45264,2,56,56,2021,7,9,1,1,0,2
4,108999,3,70,70,1965,2,10,1,1,0,1
1,123886,3,85,102,2020,1,5,1,2,0,1
4,53500,2,58,68,2020,1,6,1,1,1,0
1,166498,3,91,109,2021,3,4,1,2,0,1
1,99000,4,81,98,1982,6,8,1,2,1,2
1,39688,1,50,50,2021,6,9,1,1,0,1
1,129265,2,68,82,2021,3,4,1,1,0,1
1,42900,2,54,65,2019,0,3,1,1,0,1
1,65950,1,37,41,1997,0,8,1,1,0,0
4,107700,3,76,93,2021,3,11,1,2,0,1
4,29900,2,55,62,2020,2,3,1,1,1,1
1,34900,2,38,45,2020,1,8,1,1,0,1
4,156000,2,54,79,2020,8,11,1,1,0,1
1,40000,2,40,49,2020,2,5,1,1,1,1
4,95000,3,100,120,2020,1,6,1,2,0,2
1,126000,3,90,100,2020,2,3,1,2,0,2
4,60000,2,60,75,2021,1,7,1,1,1,1
1,67000,1,46,58,2020,5,11,1,1,0,1
4,68000,2,63,73,2020,5,6,1,1,0,2
4,90600,2,60,73,2021,5,7,1,1,1,1
1,81900,2,47,65,2020,9,9,1,1,0,1
1,54500,2,65,75,2020,2,6,1,1,0,1
1,189000,3,90,100,2015,3,7,1,2,0,0
1,91900,2,45,55,2007,0,5,1,1,0,1
1,34900,2,38,45,2020,1,8,1,1,0,1
1,42500,2,41,60,2020,1,6,1,1,1,1
1,38500,2,47,55,2019,0,4,1,1,0,0
1,49500,1,50,60,2019,3,8,1,1,0,1
1,86060,2,66,66,2020,1,12,1,1,0,1
1,45150,1,40,47,2020,1,6,1,1,1,1
4,74000,1,31,36,2015,9,9,1,1,0,1
4,70952,2,60,75,2018,6,9,1,1,0,0
4,139000,3,102,107,2019,2,2,1,2,1,3
4,69619,2,56,72,2018,6,9,1,1,0,1
1,61900,2,43,54,1963,7,8,1,1,0,1
1,64500,2,59,71,2020,3,4,1,1,0,1
1,50192,1,63,63,2021,8,9,1,1,0,1
1,119900,4,95,95,2009,0,11,1,2,2,0
1,65000,2,63,73,2020,6,6,1,1,0,2
1,51800,2,61,71,2020,2,4,1,2,0,1
1,45000,2,44,55,2021,1,6,1,1,0,1
4,68600,2,47,56,2021,1,6,1,1,0,1
4,89999,3,92,112,2020,0,6,1,2,0,2
1,89500,4,85,88,1983,0,8,1,2,1,0
4,51200,2,64,74,2020,3,7,1,1,1,2
1,31500,1,39,46,2020,1,6,1,1,0,1
1,85000,2,62,72,1989,4,8,1,1,0,1
4,141715,3,98,118,2020,1,6,1,2,0,2
1,115000,3,79,79,1994,8,8,1,1,0,1
1,31500,1,35,45,2020,1,8,1,1,0,1
1,49000,1,35,40,2020,1,3,1,1,0,1
1,72900,2,41,54,2021,2,7,1,1,0,1
4,125000,4,95,114,2020,2,5,1,2,0,1
4,59000,2,57,70,2020,0,6,1,1,0,1
4,104500,3,84,84,2020,1,4,1,1,0,1
1,74500,2,60,68,2014,6,6,1,1,1,2
1,85000,3,68,74,1986,0,8,1,2,1,1
4,182500,3,78,97,2021,7,8,1,2,0,1
4,92000,2,62,76,2021,4,7,1,1,1,1
4,88600,2,62,75,2020,2,11,1,1,0,1
1,63500,2,55,66,2020,3,5,1,1,0,1
1,90288,2,58,70,2020,5,5,1,1,0,1
1,59500,2,57,57,2020,3,3,1,1,0,1
1,68500,2,62,73,2020,1,4,1,1,0,1
1,89610,1,61,61,2020,3,5,1,1,0,1
1,94900,2,58,67,2019,10,11,1,1,0,1
